date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1984-11-05,24.752,25.3792,24.5056,24.752,470399,0.0856,,
1984-11-06,26.2528,26.376,24.9984,26.2528,1005899,0.0908,6.07,
1984-11-07,25.7488,26.376,24.8752,25.7488,1033699,0.0891,-1.87,
1984-11-08,24.752,25.7488,24.6288,24.752,393399,0.0856,-3.93,
1984-11-09,23.2512,24.8752,23.0048,23.2512,1313099,0.0804,-6.07,
1984-11-12,24.1248,24.248,23.0048,24.1248,505599,0.0835,3.86,
1984-11-13,23.4976,24.6288,23.2512,23.4976,565499,0.0813,-2.63,
1984-11-14,23.7552,24.0016,23.128,23.7552,465799,0.0822,1.11,
1984-11-15,23.7552,24.0016,23.3744,23.7552,475899,0.0822,0.0,
1984-11-16,23.2512,24.1248,23.128,23.2512,740000,0.0804,-2.19,
1984-11-19,21.8736,23.3744,21.7504,21.8736,1040099,0.0757,-5.85,
1984-11-20,22.624,22.7472,21.7504,22.624,1175199,0.0783,3.43,
1984-11-21,23.128,23.2512,22.2544,23.128,797900,0.08,2.17,
1984-11-23,23.7552,24.1248,23.3744,23.7552,611999,0.0822,2.75,
1984-11-26,24.0016,24.0016,23.4976,24.0016,449299,0.083,0.97,
1984-11-27,24.6288,24.8752,23.8784,24.6288,568799,0.0852,2.65,
1984-11-28,25.872,26.4992,24.6288,25.872,1832699,0.0895,5.05,
1984-11-29,25.3792,25.872,24.9984,25.3792,780700,0.0878,-1.9,
1984-11-30,24.752,25.6256,24.6288,24.752,485299,0.0856,-2.51,
1984-12-03,24.3712,24.8752,23.6208,24.3712,437499,0.0843,-1.52,169666556.05
1984-12-04,24.8752,25.3792,24.248,24.8752,537399,0.0861,2.14,170416956.05
1984-12-05,26.1296,26.1296,24.752,26.1296,1173699,0.0904,4.99,172296316.0
1984-12-06,27.3728,27.496,25.872,27.3728,1416399,0.0947,4.76,176582555.8
1984-12-07,27.2496,28.3696,27.1264,27.2496,2207699,0.0943,-0.42,196902714.95
1984-12-10,26.7456,27.2496,26.4992,26.7456,497699,0.0926,-1.8,187770235.35
1984-12-11,26.376,27.1264,26.1296,26.376,552599,0.0913,-1.4,188296635.35
1984-12-12,25.5024,26.376,25.1216,25.5024,491399,0.0882,-3.4,187466715.35
1984-12-13,25.7488,26.2528,25.1216,25.7488,298399,0.0891,1.02,185591835.4
1984-12-14,26.376,26.6224,25.7488,26.376,429199,0.0913,2.47,185068795.45
1984-12-17,27.0032,27.2496,26.2528,27.0032,559099,0.0934,2.3,183042714.45
1984-12-18,28.6272,28.7504,27.496,28.6272,1520399,0.099,6.0,188422074.2
1984-12-19,27.496,28.7504,27.3728,27.496,1417399,0.0951,-3.94,191134714.05
1984-12-20,27.3728,28.0,27.3728,27.3728,624299,0.0947,-0.42,189190393.0
1984-12-21,27.0032,27.496,26.7456,27.0032,553099,0.0934,-1.37,188530713.05
1984-12-24,27.496,27.6304,27.1264,27.496,301499,0.0951,1.82,186875353.1
1984-12-26,27.6304,27.8768,27.3728,27.6304,299899,0.0956,0.53,183863673.2
1984-12-27,27.7536,27.8768,27.6304,27.7536,440899,0.096,0.42,168275513.9
1984-12-28,28.7504,28.8736,27.6304,28.7504,738099,0.0995,3.65,167798392.8
1984-12-31,29.12,29.2544,28.7504,29.12,927499,0.1008,1.31,172751032.6
1985-01-02,27.8768,29.12,27.6304,27.8768,782599,0.0964,-4.37,176616152.4
1985-01-03,28.3696,29.12,27.7536,28.3696,743799,0.0982,1.87,178927832.3
1985-01-04,28.3696,28.504,28.0,28.3696,612799,0.0982,0.0,172645752.55
1985-01-07,28.2464,28.504,27.496,28.2464,763000,0.0977,-0.51,165327674.0
1985-01-08,28.0,28.504,28.0,28.0,629999,0.0969,-0.82,147657434.75
1985-01-09,28.7504,29.12,28.0,28.7504,744299,0.0995,2.68,150419354.65
1985-01-10,30.0048,30.128,28.6272,30.0048,1236899,0.1038,4.32,158083514.3
1985-01-11,29.7472,30.2512,29.5008,29.7472,915399,0.1029,-0.87,162832314.1
1985-01-14,30.6208,30.8784,29.5008,30.6208,1207299,0.106,3.01,173011993.65
1985-01-15,30.0048,31.1248,29.7472,30.0048,1182899,0.1038,-2.08,181453433.3
1985-01-16,30.2512,30.7552,29.8704,30.2512,847699,0.1047,0.87,184685753.15
1985-01-17,28.1232,30.7552,27.6304,28.1232,2444299,0.0973,-7.07,195033432.7
1985-01-18,28.6272,29.2544,28.0,28.6272,1574399,0.099,1.75,196791832.65
1985-01-21,29.2544,29.5008,28.504,29.2544,1452799,0.1012,2.22,206071032.25
1985-01-22,30.128,30.2512,29.12,30.128,1896599,0.1042,2.96,221118231.6
1985-01-23,29.624,30.2512,29.5008,29.624,1921899,0.1025,-1.63,239266710.8
1985-01-24,28.9968,29.624,28.8736,28.9968,1772599,0.1003,-2.15,255760950.1
1985-01-25,29.624,29.624,28.3696,29.624,1421699,0.1025,2.19,266745909.6
1985-01-28,30.2512,30.6208,29.3776,30.2512,1840099,0.1047,2.15,279088309.05
1985-01-29,29.8704,30.4976,29.2544,29.8704,998799,0.1034,-1.24,279886869.0
